Year,Position,Artist,Song Title
2013,1,Macklemore and Ryan Lewis feat. Wanz,Thrift Shop
2013,2,Robin Thicke feat. T.I. and Pharrell,Blurred Lines
2013,3,Imagine Dragons,Radioactive
2013,4,Baauer,Harlem Shake
2013,5,Macklemore and Ryan Lewis feat. Ray Dalton,Can't Hold Us
2013,6,Justin Timberlake,Mirrors
2013,7,P!nk feat. Nate Ruess,Just Give Me A Reason
2013,8,Bruno Mars,When I Was Your Man
2013,9,Florida Georgia Line feat. Nelly,Cruise
2013,10,Katy Perry,Roar
2013,11,Bruno Mars,Locked Out Of Heaven
2013,12,Lumineers,Ho Hey
2013,13,Rihanna feat. Mikky Ekko,Stay
2013,14,Daft Punk feat. Pharrell Williams,Get Lucky
2013,15,Lorde,Royals
2013,16,Taylor Swift,I Knew You Were Trouble
2013,17,Miley Cyrus,We Can't Stop
2013,18,Miley Cyrus,Wrecking Ball
2013,19,Avicii,Wake Me Up!
2013,20,Justin Timberlake feat. Jay Z,Suit and Tie
2013,21,Anna Kendrick,Cups (Pitch Perfect's When I'm Gone)
2013,22,Jay Z feat. Justin Timberlake,Holy Grail
2013,23,will.i.am and Britney Spears,Scream and Shout
2013,24,Zedd feat. Foxes,Clarity
2013,25,AWOLNATION,Sail
2013,26,Swedish House Mafia feat. John Martin,Don't You Worry Child
2013,27,Rihanna,Diamonds
2013,28,Icona Pop feat. Charli XCX,I Love It
2013,29,Capital Cities,Safe And Sound
2013,30,Bruno Mars,Treasure
2013,31,Ariana Grande feat. Mac Miller,The Way
2013,32,Drake,Started From The Bottom
2013,33,Selena Gomez,Come and Get It
2013,34,Drake feat. Majid Jordan,"Hold On, We're Going Home"
2013,35,Maroon 5,Daylight
2013,36,Pitbull feat. Christina Aguilera,Feel This Moment
2013,37,Lady Gaga,Applause
2013,38,Maroon 5,One More Night
2013,39,Lil Wayne feat. Drake and Future,Love Me
2013,40,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up)
2013,41,"A$AP Rocky feat. Drake, 2 Chainz and Kendrick Lamar",F**kin Problems
2013,42,Justin Bieber feat. Nicki Minaj,Beauty And A Beat
2013,43,Macklemore and Ryan Lewis feat. Mary Lambert,Same Love
2013,44,Calvin Harris feat. Florence Welch,Sweet Nothing
2013,45,Lana Del Rey and Cedric Gervais,Summertime Sadness
2013,46,Phillip Phillips,Home
2013,47,Imagine Dragons,It's Time
2013,48,J. Cole feat. Miguel,Power Trip
2013,49,Alicia Keys feat. Nicki Minaj,Girl On Fire
2013,50,Demi Lovato,Heart Attack
2013,51,Maroon 5,Love Somebody
2013,52,Mumford and Sons,I Will Wait
2013,53,P!nk,Try
2013,54,Darius Rucker,Wagon Wheel
2013,55,Psy,Gangnam Style
2013,56,Calvin Harris feat. Ellie Goulding,I Need Your Love
2013,57,Ke$ha,Die Young
2013,58,fun.,Some Nights
2013,59,Wale feat. Tiara Thomas or Rihanna,Bad
2013,60,Blake Shelton feat. Pistol Annies and Friends,Boys 'Round Here
2013,61,Phillip Phillips,"Gone, Gone, Gone"
2013,62,Imagine Dragons,Demons
2013,63,OneRepublic,Counting Stars
2013,64,Flo Rida,I Cry
2013,65,Of Monsters And Men,Little Talks
2013,66,Jason Derulo,The Other Side
2013,67,Eminem,Berzerk
2013,68,Kelly Clarkson,Catch My Breath
2013,69,Luke Bryan,Crash My Party
2013,70,Rihanna,Pour It Up
2013,71,Taylor Swift,22
2013,72,Hunter Hayes,I Want Crazy
2013,73,Ylvis,The Fox
2013,74,One Direction,Best Song Ever
2013,75,Ed Sheeran,The A Team
2013,76,fun.,Carry On
2013,77,Tim McGraw with Taylor Swift,Highway Don't Care
2013,78,Luke Bryan,That's My Kind Of Night
2013,79,Kendrick Lamar,Swimming Pools (Drank)
2013,80,Blake Shelton,Sure Be Cool If You Did
2013,81,Mariah Carey feat. Miguel,#Beautiful
2013,82,Olly Murs feat. Flo Rida,Troublemaker
2013,83,Ciara,Body Party
2013,84,Miguel,Adorn
2013,85,Script feat. will.i.am,Hall Of Fame
2013,86,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself)
2013,87,Rocko feat. Future and Rick Ross,U.O.E.N.O.
2013,88,Emeli Sande,Next To Me
2013,89,Miranda Lambert,Mama's Broken Heart
2013,90,Thomas Rhett,It Goes Like This
2013,91,Ace Hood feat. Future and Rick Ross,Bugatti
2013,92,Hunter Hayes,Wanted
2013,93,Lady Antebellum,Downtown
2013,94,Florida Georgia Line,Get Your Shine On
2013,95,will.i.am feat. Justin Bieber,#thatPOWER
2013,96,Sara Bareilles,Brave
2013,97,Passenger,Let Her Go
2013,98,Randy Houser,Runnin' Outta Moonlight
2013,99,2 Chainz,I'm Different
2013,100,Paramore,Still Into You
