Year,Position,Artist,Song Title
1987,1,Bangles,Walk Like An Egyptian
1987,2,Heart,Alone
1987,3,Gregory Abbott,Shake You Down
1987,4,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me)
1987,5,Starship,Nothing's Gonna Stop Us Now
1987,6,Robbie Nevil,C'est La Vie
1987,7,Whitesnake,Here I Go Again
1987,8,Bruce Hornsby and The Range,The Way It Is
1987,9,Bob Seger,Shakedown
1987,10,Bon Jovi,Livin' On A Prayer
1987,11,Los Lobos,La Bamba
1987,12,Wang Chung,Everybody Have Fun Tonight
1987,13,Crowded House,Don't Dream It's Over
1987,14,Atlantic Starr,Always
1987,15,U2,With Or Without You
1987,16,Jody Watley,Looking For A New Love
1987,17,Lisa Lisa and Cult Jam,Head To Toe
1987,18,Tiffany,I Think We're Alone Now
1987,19,Billy Idol,Mony Mony
1987,20,Billy Vera and The Beaters,At This Moment
1987,21,Chris De Burgh,The Lady In Red
1987,22,Whitney Houston,Didn't We Almost Have It All
1987,23,U2,I Still Haven't Found What I'm Looking For
1987,24,George Michael,I Want Your Sex
1987,25,Duran Duran,Notorious
1987,26,Debbie Gibson,Only In My Dreams
1987,27,Bill Medley and Jennifer Warnes,(I've Had) The Time Of My Life
1987,28,Peter Cetera and Amy Grant,The Next Time I Fall
1987,29,Club Nouveau,Lean On Me
1987,30,Madonna,Open Your Heart
1987,31,Lisa Lisa and Cult Jam,Lost In Emotion
1987,32,Cutting Crew,(I Just) Died In Your Arms
1987,33,T'pau,Heart And Soul
1987,34,Kim Wilde,You Keep Me Hangin' On
1987,35,Georgia Satellites,Keep Your Hands To Yourself
1987,36,Aretha Franklin and George Michael,I Knew You Were Waiting (For Me)
1987,37,Janet Jackson,Control
1987,38,Prince,U Got The Look
1987,39,Linda Ronstadt and James Ingram,Somewhere Out There
1987,40,Genesis,Land Of Confusion
1987,41,Huey Lewis and The News,Jacob's Ladder
1987,42,Madonna,Who's That Girl
1987,43,Jets,You Got It All
1987,44,Samantha Fox,Touch Me (I Want Your Body)
1987,45,Michael Jackson and Siedah Garrett,I Just Can't Stop Loving You
1987,46,Madonna,Causing A Commotion
1987,47,Genesis,In Too Deep
1987,48,Janet Jackson,Let's Wait Awhile
1987,49,Huey Lewis and The News,Hip To Be Square
1987,50,Chicago,Will You Still Love Me?
1987,51,Fleetwood Mac,Little Lies
1987,52,Suzanne Vega,Luka
1987,53,Bananarama,I Heard A Rumour
1987,54,Richard Marx,Don't Mean Nothing
1987,55,Kenny G,Songbird
1987,56,Europe,Carrie
1987,57,System,Don't Disturb This Groove
1987,58,Madonna,La Isla Bonita
1987,59,Michael Jackson,Bad
1987,60,Prince,Sign 'O' The Times
1987,61,Cyndi Lauper,Change Of Heart
1987,62,Expose,Come Go With Me
1987,63,Dan Hill,Can't We Try
1987,64,Billy Idol,To Be A Lover
1987,65,Bruce Hornsby and The Range,Mandolin Rain
1987,66,Swing Out Sister,Breakout
1987,67,Ben E. King,Stand By Me
1987,68,Genesis,"Tonight, Tonight, Tonight"
1987,69,Glass Tiger,Someday
1987,70,ABC,When Smokey Sings
1987,71,Levert,Casanova
1987,72,Gloria Estefan and Miami Sound Machine,Rhythm Is Gonna Get You
1987,73,Whispers,Rock Steady
1987,74,Bon Jovi,Wanted Dead Or Alive
1987,75,Peter Gabriel,Big Time
1987,76,Steve Winwood,The Finer Things
1987,77,Expose,Let Me Be The One
1987,78,Survivor,Is This Love
1987,79,Herb Alpert,Diamonds
1987,80,Expose,Point Of No Return
1987,81,Fleetwood Mac,Big Love
1987,82,Lou Gramm,Midnight Blue
1987,83,Crowded House,Something So Strong
1987,84,Bryan Adams,Heat Of The Night
1987,85,Glenn Medeiros,Nothing's Gonna Change My Love For You
1987,86,Bruce Springsteen,Brilliant Disguise
1987,87,Smokey Robinson,Just To See Her
1987,88,Heart,Who Will You Run Too
1987,89,Bruce Willis,Respect Yourself
1987,90,Jets,Cross My Broken Heart
1987,91,Kool and The Gang,Victory
1987,92,Pretenders,Don't Get Me Wrong
1987,93,Huey Lewis and The News,Doing It All For My Baby
1987,94,Breakfast Club,Right On Track
1987,95,Lionel Richie,Ballerina Girl
1987,96,Kenny Loggins,Meet Me Half Way
1987,97,Cutting Crew,I've Been In Love Before
1987,98,Beastie Boys,(You Gotta) Fight For Your Right (To Party)
1987,99,Pseudo Echo,Funkytown
1987,100,Ready For The World,Love You Down
