Year,Position,Artist,Song Title
2010,1,Ke$ha,TiK ToK
2010,2,Lady Antebellum,Need You Now
2010,3,Train,"Hey, Soul Sister"
2010,4,Katy Perry feat. Snoop Dogg,California Gurls
2010,5,Usher feat. will.i.am,OMG
2010,6,B.o.B feat. Hayley Williams,Airplanes
2010,7,Eminem feat. Rihanna,Love The Way You Lie
2010,8,Lady Gaga,Bad Romance
2010,9,Taio Cruz,Dynamite
2010,10,Taio Cruz feat. Ludacris,Break Your Heart
2010,11,B.o.B feat. Bruno Mars,Nothin' On You
2010,12,Enrique Iglesias feat. Pitbull,I Like It
2010,13,Young Money feat. Lloyd,Bedrock
2010,14,Jason Derulo,In My Head
2010,15,Rihanna,Rude Boy
2010,16,Lady Gaga feat. Beyonce,Telephone
2010,17,Katy Perry,Teenage Dream
2010,18,Bruno Mars,Just The Way You Are
2010,19,Mike Posner,Cooler Than Me
2010,20,Black Eyed Peas,Imma Be
2010,21,Jay-Z and Alicia Keys,Empire State of Mind
2010,22,Usher feat. Pitbull,DJ Got Us Fallin' in Love
2010,23,Travie McCoy feat. Bruno Mars,Billionaire
2010,24,Eminem,Not Afraid
2010,25,Iyaz,Replay
2010,26,David Guetta feat. Akon,Sexy Chick
2010,27,Script,Breakeven
2010,28,Ke$ha,Your Love Is My Drug
2010,29,Black Eyed Peas,I Gotta Feeling
2010,30,Owl City,Fireflies
2010,31,Trey Songz feat. Fabolous,Say Aah
2010,32,Drake,Find Your Love
2010,33,Lady Gaga,Alejandro
2010,34,Jason Derulo,Ridin' Solo
2010,35,Nelly,Just A Dream
2010,36,Ludacris,How Low
2010,37,Far East Movement feat. The Cataracs and Dev,Like A G6
2010,38,Timbaland feat. Justin Timberlake,Carry Out
2010,39,Michael Buble,Haven't Met You Yet
2010,40,Flo Rida feat. David Guetta,Club Can't Handle Me
2010,41,Jay Sean feat. Lil Wayne,Down
2010,42,La Roux,Bulletproof
2010,43,Jason Derulo,Whatcha Say
2010,44,Justin Bieber feat. Ludacris,Baby
2010,45,Adam Lambert,Whataya Want From Me
2010,46,Taylor Swift,Mine
2010,47,Rihanna,Only Girl (In The World)
2010,48,Kris Allen,Live Like We're Dying
2010,49,Rihanna feat. Jeezy,Hard
2010,50,Jay-Z and Mr. Hudson,Young Forever
2010,51,Ke$ha feat. 3OH!3,Blah Blah Blah
2010,52,Trey Songz feat. Nicki Minaj,Bottoms Up
2010,53,Jay Sean feat. Sean Paul and Lil Jon,Do You Remember
2010,54,OneRepublic,All The Right Moves
2010,55,Orianthi,According To You
2010,56,Ludacris feat. Nicki Minaj,My Chick Bad
2010,57,Taylor Swift,You Belong With Me
2010,58,Black Eyed Peas,Meet Me Halfway
2010,59,Ke$ha,Take It Off
2010,60,Drake,Over
2010,61,Neon Trees,Animal
2010,62,Maroon 5,Misery
2010,63,B.o.B feat. Rivers Cuomo,Magic
2010,64,Lady Gaga,Paparazzi
2010,65,New Boyz feat. Ray J,Tie Me Down
2010,66,Nicki Minaj,Your Love
2010,67,Miley Cyrus,Party In The U.S.A.
2010,68,Chris Brown feat. Tyga and Kevin McCall,Deuces
2010,69,Britney Spears,3
2010,70,Shontelle,Impossible
2010,71,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever
2010,72,Boys Like Girls feat. Taylor Swift,Two Is Better Than One
2010,73,3OH!3 feat. Ke$ha,My First Kiss
2010,74,Kelly Clarkson,Already Gone
2010,75,Black Eyed Peas,Rock That Body
2010,76,OneRepublic,Secrets
2010,77,Selena Gomez and The Scene,Naturally
2010,78,Alicia Keyes,Un-Thinkable (I'm Ready)
2010,79,"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win
2010,80,"Kevin Rudolf feat. Birdman, Jay Sean, and Lil Wayne",I Made It (Cash Money Heroes)
2010,81,Sugarland,Stuck Like Glue
2010,82,Usher feat. Plies,Hey Daddy (Daddy's Home)
2010,83,Usher,There Goes My Baby
2010,84,Taylor Swift,Today Was A Fairytale
2010,85,Timbaland feat. Drake,Say Something
2010,86,Beyonce,Sweet Dreams
2010,87,Kings of Leon,Use Somebody
2010,88,Carrie Underwood,Undo It
2010,89,Sean Kingston and Justin Bieber,Eenie Meenie
2010,90,Lil Wayne feat. Drake,Right Above It
2010,91,Miranda Lambert,The House That Built Me
2010,92,Band Perry,If I Die Young
2010,93,Paramore,The Only Exception
2010,94,Lady Antebellum,American Honey
2010,95,Sara Bareilles,King Of Anything
2010,96,Daughtry,Life After You
2010,97,Uncle Kraker,Smile
2010,98,Cali Swag District,Teach Me How To Dougie
2010,99,Alicia Keyes,Try Sleeping With  A Broken Heart
2010,100,Jerrod Niemann,"Lover, Lover"
