inst#,actual,predicted,error
1,0,0.267,0.267
2,1,0.62,-0.38,
3,0,-0.001,-0.001
4,0,0.007,0.007
5,0,0.005,0.005
6,0,0.033,0.033
7,0,0.019,0.019
8,0,-0.001,-0.001
9,0,0.01,0.01,
10,0,-0.013,-0.013
11,0.2,0.194,-0.006
12,0,-0.001,-0.001
13,0,0,0,
14,0,0.004,0.004
15,0,0.026,0.026
16,0.2,0.049,-0.151
17,0,0.02,0.02,
18,0.2,0.005,-0.195
19,0,0.018,0.018
20,0,0.018,0.018
21,0,0.034,0.034
22,0,0.058,0.058
23,0,0.027,0.027
24,0,-0.007,-0.007
25,0,0.015,0.015
26,0,0,0,
27,0,0.032,0.032
28,0,0.03,0.03,
29,0,0.006,0.006
30,0,0.018,0.018
31,0,-0.007,-0.007
32,0,0.684,0.684
33,0,0.011,0.011
34,0,0.018,0.018
35,0,0.034,0.034
36,0,0.016,0.016
37,0,-0.012,-0.012
38,0,0.006,0.006
39,0,0,0,
40,0,0.05,0.05,
41,0,0.02,0.02,
42,0,0.025,0.025
43,0,0.04,0.04,
44,0,0.025,0.025
45,0,0.016,0.016
46,0.2,0.054,-0.146
47,0,0.027,0.027
48,0,0,0,
49,0,-0.017,-0.017
50,0,0.029,0.029
51,0,0.028,0.028
52,0,0.023,0.023
53,0,-0.001,-0.001
54,0,0.01,0.01,
55,0,0.009,0.009
56,0,0.018,0.018
57,0,0.026,0.026
58,0,0.008,0.008
59,0,-0.002,-0.002
60,0,0.011,0.011
61,0,-0.01,-0.01,
62,0,-0.001,-0.001
63,0,0.018,0.018
64,0,0.015,0.015
65,0,0.024,0.024
66,0,0.002,0.002
67,0.2,0.259,0.059
68,0,0.017,0.017
69,0,0.023,0.023
70,0,0.047,0.047
71,0,0.052,0.052
72,0,0.012,0.012
73,0,0.026,0.026
74,0,0.003,0.003
75,0,0.016,0.016
76,0,0.011,0.011
77,0,0.007,0.007
78,0,0.022,0.022
79,0,-0.016,-0.016
80,0,0.049,0.049
81,0,0.016,0.016
82,0,0.023,0.023
83,0,-0.004,-0.004
84,0,0.018,0.018
85,0,0.014,0.014
86,0,0.025,0.025
87,0,0.057,0.057
88,0,-0.006,-0.006
89,0,-0.017,-0.017
90,0,0.005,0.005
91,0,0.029,0.029
92,0,0.093,0.093
93,0,0.054,0.054
94,0,0.008,0.008
95,0,0.031,0.031
96,0,0.027,0.027
97,0,0.026,0.026
98,0,0.017,0.017
99,0,0.005,0.005
100,0,-0.017,-0.017
101,0,0.004,0.004
102,0,-0.019,-0.019
103,0,-0.017,-0.017
104,0,0.021,0.021
105,0,0.03,0.03,
106,0,0.016,0.016
107,0,0.049,0.049
108,0,0.068,0.068
109,0,0.012,0.012
110,0,0.002,0.002
111,0,0.001,0.001
112,0,0.01,0.01,
113,0,0.008,0.008
114,0,0.051,0.051
115,0,0.011,0.011
116,0,0.015,0.015
117,0,0.018,0.018
118,0,0.045,0.045
119,0,0.015,0.015
120,0.2,0.029,-0.171
121,0,0.015,0.015
122,0.2,0.01,-0.19,
123,0,0.018,0.018
124,1,0.145,-0.855
125,0,0.022,0.022
126,0,0.005,0.005
127,0,0.066,0.066
128,0,0.017,0.017
129,0,0.041,0.041
130,0,0.018,0.018
131,0,0.005,0.005
132,0,0.149,0.149
133,0,0.024,0.024
134,0,0.003,0.003
135,0,0.013,0.013
136,0,0.018,0.018
137,0,0.054,0.054
138,0,0.003,0.003
139,0,0.057,0.057
140,0,0.018,0.018
141,0,0.015,0.015
142,0,0.031,0.031
143,0.2,0.021,-0.179
144,0,0.003,0.003
145,0,-0.002,-0.002
146,0,0.031,0.031
147,0,0,0,
148,0,0.011,0.011
149,0,0.01,0.01,
150,0,-0.02,-0.02,
151,0,-0.004,-0.004
152,0,0.078,0.078
153,0,0.001,0.001
154,0,0.024,0.024
155,0,0.038,0.038
156,0,0.013,0.013
157,0,0.058,0.058
158,0,0.002,0.002
159,0,0.019,0.019
160,0,0.001,0.001
161,0,0.01,0.01,
162,0,0.015,0.015
163,0,0.164,0.164
164,0,0.016,0.016
165,0,-0.001,-0.001
166,0,0.02,0.02,
167,0,0.03,0.03,
168,0,0.028,0.028
169,0,0.025,0.025
170,0,-0.008,-0.008
171,0,0.009,0.009
172,0,0.112,0.112
173,0.2,0.011,-0.189
174,0.2,0.076,-0.124
175,0,-0.009,-0.009
176,0,0.015,0.015
177,0,0.002,0.002
178,0,0.051,0.051
179,0,0.015,0.015
180,0,-0.005,-0.005
181,0,0.014,0.014
182,0,0.031,0.031
183,0,0.013,0.013
184,0,0.026,0.026
185,0,0.03,0.03,
186,0,0.007,0.007
187,0,0.007,0.007
188,0,0.011,0.011
189,0,0.006,0.006
190,0,0.009,0.009
191,0,0.02,0.02,
192,0,0.028,0.028
193,0,-0.004,-0.004
194,0,0.023,0.023
195,0,0.108,0.108
196,0.2,0.029,-0.171
197,0,0.018,0.018
198,0,-0.01,-0.01,
199,0,-0.002,-0.002
200,0,0.011,0.011
201,0,0.035,0.035
202,1,0.064,-0.936
203,0,0.009,0.009
204,0,0.01,0.01,
205,0,0.006,0.006
206,0,0.012,0.012
207,0,0.057,0.057
208,0,0.021,0.021
209,0,0.042,0.042
210,0,0.024,0.024
211,0,0.002,0.002
212,0,0.172,0.172
213,0,0.006,0.006
214,0,0,0,
215,0,0.001,0.001
216,0,0.019,0.019
217,0.2,0.093,-0.107
218,0,-0.003,-0.003
219,0,0.028,0.028
220,0,0.002,0.002
221,0,0.015,0.015
222,0,0.003,0.003
223,0,0.045,0.045
224,0,0.022,0.022
225,0,0.045,0.045
226,0,-0.001,-0.001
227,0,0.003,0.003
228,0,0.016,0.016
229,0,0.016,0.016
230,0,-0.002,-0.002
231,0,-0.001,-0.001
232,0.2,0.042,-0.158
233,0,-0.007,-0.007
234,0,-0.015,-0.015
235,0,0.023,0.023
236,0,0.039,0.039
237,0,0.018,0.018
238,0,0.003,0.003
239,0,0.006,0.006
240,0,0.046,0.046
241,0,0.009,0.009
242,0,-0.018,-0.018
243,0,0.182,0.182
244,0,0.006,0.006
245,0,0.017,0.017
246,0,0.005,0.005
247,0,0.002,0.002
248,0,0.01,0.01,
249,0,0.021,0.021
250,0,0.019,0.019
251,0,0.228,0.228
252,0,0.172,0.172
253,0,0.004,0.004
254,0,0.004,0.004
255,0,0.009,0.009
256,0,0.018,0.018
257,0.2,0.001,-0.199
258,0,0.164,0.164
259,0,0.018,0.018
260,0,0.006,0.006
261,0,0.019,0.019
262,0,0.024,0.024
263,0,0.009,0.009
264,0,0.029,0.029
265,0,-0.009,-0.009
266,0,0.017,0.017
267,0,0.019,0.019
268,0,0,0,
269,0,0.015,0.015
270,0,0.016,0.016
271,0,0.018,0.018
272,0,0,0,
273,0,-0.004,-0.004
274,0,0.009,0.009
275,0,0.043,0.043
276,0,0.011,0.011
277,0,0.024,0.024
278,0,0.086,0.086
279,0,0.037,0.037
280,0,-0.022,-0.022
281,0,-0.014,-0.014
282,0,-0.004,-0.004
283,0,0.041,0.041
284,0,0.029,0.029
285,0,0.026,0.026
286,0,0.044,0.044
287,0,0.005,0.005
288,0,-0.003,-0.003
289,0,-0.001,-0.001
290,0,0.073,0.073
291,0,0.012,0.012
292,0,0.021,0.021
293,0,0.014,0.014
294,0,0.025,0.025
295,0,0.004,0.004
296,0,0.01,0.01,
297,0,-0.007,-0.007
298,0,0.012,0.012
299,0,0.014,0.014
300,0.2,-0.005,-0.205
301,0,0.019,0.019
302,0,0.021,0.021
303,0,0.019,0.019
304,0,0.012,0.012
305,0,0.011,0.011
306,0,0.007,0.007
307,0,0.018,0.018
308,0,0.052,0.052
309,0,0.066,0.066
310,0,0.03,0.03,
311,0,0.011,0.011
312,0,0,0,
313,0,-0.015,-0.015
314,0,0.007,0.007
315,0,-0.004,-0.004
